1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
2 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
3 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
4 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
5 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
6 1 2 3 5 4 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
7 1 2 3 5 6 4 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
8 1 2 3 5 6 7 4 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
9 1 2 3 5 6 7 4 8 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
10 1 2 3 5 6 7 4 9 8 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
11 1 2 3 5 6 7 4 9 10 8 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
12 1 2 3 5 6 7 4 9 10 11 8 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
13 1 2 3 5 6 7 4 9 10 11 8 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27
14 1 2 3 5 6 7 4 9 10 11 8 13 12 15 16 17 18 19 20 21 22 23 24 25 26 27
15 1 2 3 5 6 7 4 9 10 11 8 13 14 12 16 17 18 19 20 21 22 23 24 25 26 27
16 1 2 3 5 6 7 4 9 10 11 8 13 14 15 12 17 18 19 20 21 22 23 24 25 26 27
17 1 2 3 5 6 7 4 9 10 11 8 13 14 15 16 12 18 19 20 21 22 23 24 25 26 27
18 1 2 3 5 6 7 4 9 10 11 8 13 14 15 16 17 12 19 20 21 22 23 24 25 26 27
19 1 2 3 5 6 7 4 9 10 11 8 13 14 15 16 17 18 12 20 21 22 23 24 25 26 27
20 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 27 21 22 23 24 25 26
21 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 27 22 23 24 25 26
22 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 27 23 24 25 26
23 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 27 25 26
24 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 25 26 27
25 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 26 27
26 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 27
27 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
